SeqSampleID,Population,Line,Rep,PlantingBlock,Tube,Flower,Long_Stamens,Short_Stamens,Elev_m
Bos-9,BOS,9,A,1,6,1,4,1,715
Bos-9,BOS,9,A,1,6,2,4,2,715
Bos-9,BOS,9,A,1,32,1,4,0,715
Bos-9,BOS,9,A,1,32,2,4,2,715
Bos-9,BOS,9,A,1,156,1,4,2,715
Bos-9,BOS,9,A,1,156,2,4,2,715
Bos-9,BOS,9,B,1,99,1,4,1,715
Bos-9,BOS,9,B,1,99,2,4,2,715
Bos-9,BOS,9,B,1,189,1,4,2,715
Bos-10,BOS,10,B,1,36,1,4,0,715
Bos-10,BOS,10,B,1,36,2,4,2,715
Bos-10,BOS,10,B,1,157,1,4,1,715
Bos-10,BOS,10,B,1,157,2,4,2,715
Bos-10,BOS,10,B,1,229,1,4,2,715
Bos-10,BOS,10,B,1,229,2,4,2,715
Bos-10,BOS,10,C,2,318,1,4,0,715
Bos-10,BOS,10,C,2,318,2,4,0,715
Bos-10,BOS,10,C,2,324,1,4,0,715
Bos-10,BOS,10,C,2,324,2,4,0,715
Bos-10,BOS,10,C,2,326,1,4,0,715
Bos-10,BOS,10,C,2,326,2,4,2,715
COC14,COC,14,a,3,1,1,4,2,519
COC14,COC,14,a,3,1,2,4,2,519
COC14,COC,14,a,3,1,3,4,2,519
COC14,COC,14,a,3,2,1,4,2,519
COC14,COC,14,a,3,2,2,4,2,519
COC14,COC,14,a,3,2,3,4,1,519
COC14,COC,14,a,3,3,1,4,2,519
COC14,COC,14,a,3,3,2,4,2,519
COC14,COC,14,a,3,3,3,4,1,519
COC14,COC,14,b,3,1,1,4,2,519
COC14,COC,14,b,3,1,2,4,2,519
COC14,COC,14,b,3,1,3,4,2,519
COC14,COC,14,b,3,2,1,4,2,519
COC14,COC,14,b,3,2,2,4,2,519
COC14,COC,14,b,3,2,3,4,2,519
COC14,COC,14,b,3,3,1,4,1,519
COC14,COC,14,b,3,3,2,4,2,519
COC14,COC,14,b,3,3,3,4,2,519
COC14,COC,14,c,3,1,1,4,2,519
COC14,COC,14,c,3,1,2,4,2,519
COC14,COC,14,c,3,1,3,4,2,519
COC14,COC,14,c,3,2,1,4,2,519
COC14,COC,14,c,3,2,2,4,2,519
COC14,COC,14,c,3,2,3,4,2,519
COC14,COC,14,c,3,3,1,4,2,519
COC14,COC,14,c,3,3,2,4,2,519
COC14,COC,14,c,3,3,3,4,2,519
COC14,COC,14,d,3,1,1,4,2,519
COC14,COC,14,d,3,1,2,4,2,519
COC14,COC,14,d,3,1,3,4,2,519
COC14,COC,14,d,3,2,1,4,2,519
COC14,COC,14,d,3,2,2,4,2,519
COC14,COC,14,d,3,2,3,4,1,519
COC14,COC,14,d,3,3,1,4,2,519
COC14,COC,14,d,3,3,2,4,1,519
COC14,COC,14,d,3,3,3,4,2,519
COC17,COC,17,a,3,1,1,4,2,519
COC17,COC,17,a,3,1,2,4,2,519
COC17,COC,17,a,3,1,3,4,2,519
COC17,COC,17,a,3,2,1,4,2,519
COC17,COC,17,a,3,2,2,4,2,519
COC17,COC,17,a,3,2,3,4,2,519
COC17,COC,17,a,3,3,1,4,2,519
COC17,COC,17,a,3,3,2,4,2,519
COC17,COC,17,a,3,3,3,4,2,519
COC17,COC,17,b,3,1,1,4,2,519
COC17,COC,17,b,3,1,2,4,2,519
COC17,COC,17,b,3,1,3,4,2,519
COC17,COC,17,b,3,2,1,4,2,519
COC17,COC,17,b,3,2,2,4,2,519
COC17,COC,17,b,3,2,3,4,2,519
COC17,COC,17,b,3,3,1,4,2,519
COC17,COC,17,b,3,3,2,4,2,519
COC17,COC,17,b,3,3,3,4,2,519
COC17,COC,17,d,3,1,1,4,2,519
COC17,COC,17,d,3,1,2,4,2,519
COC17,COC,17,d,3,1,3,4,2,519
COC17,COC,17,d,3,2,1,4,2,519
COC17,COC,17,d,3,2,2,4,2,519
COC17,COC,17,d,3,2,3,4,2,519
COC17,COC,17,d,3,3,1,4,2,519
COC17,COC,17,d,3,3,2,4,2,519
COC17,COC,17,d,3,3,3,4,2,519
Coc-19,COC,19,a,3,1,1,4,2,519
Coc-19,COC,19,a,3,1,2,4,2,519
Coc-19,COC,19,a,3,1,3,4,2,519
Coc-19,COC,19,a,3,2,1,4,2,519
Coc-19,COC,19,a,3,2,2,4,2,519
Coc-19,COC,19,a,3,2,3,4,2,519
Coc-19,COC,19,a,3,3,1,4,2,519
Coc-19,COC,19,a,3,3,2,4,2,519
Coc-19,COC,19,a,3,3,3,4,2,519
Coc-19,COC,19,b,3,1,1,4,2,519
Coc-19,COC,19,b,3,1,2,4,2,519
Coc-19,COC,19,b,3,1,3,4,1,519
Coc-19,COC,19,b,3,2,1,4,2,519
Coc-19,COC,19,b,3,2,2,4,2,519
Coc-19,COC,19,b,3,2,3,4,2,519
Coc-19,COC,19,b,3,3,1,4,2,519
Coc-19,COC,19,b,3,3,2,4,2,519
Coc-19,COC,19,b,3,3,3,4,2,519
Coc-19,COC,19,c,3,1,1,4,2,519
Coc-19,COC,19,c,3,1,2,4,2,519
Coc-19,COC,19,c,3,1,3,4,1,519
Coc-19,COC,19,c,3,2,1,4,2,519
Coc-19,COC,19,c,3,2,2,4,2,519
Coc-19,COC,19,c,3,2,3,4,1,519
Coc-19,COC,19,c,3,3,1,4,2,519
Coc-19,COC,19,c,3,3,2,4,2,519
Coc-19,COC,19,c,3,3,3,4,2,519
Coc-19,COC,19,d,3,1,1,4,2,519
Coc-19,COC,19,d,3,1,2,4,2,519
Coc-19,COC,19,d,3,1,3,4,2,519
Coc-19,COC,19,d,3,2,1,4,2,519
Coc-19,COC,19,d,3,2,2,4,2,519
Coc-19,COC,19,d,3,2,3,4,2,519
Coc-19,COC,19,d,3,3,1,4,2,519
Coc-19,COC,19,d,3,3,2,4,2,519
Coc-19,COC,19,d,3,3,3,4,2,519
Hor-4,HOR,4,A,1,134,1,4,2,413
Hor-4,HOR,4,A,1,134,2,4,2,413
Hor-4,HOR,4,B,1,66,1,4,2,413
Hor-4,HOR,4,B,1,66,2,4,2,413
Hor-4,HOR,4,B,1,182,1,4,2,413
Hor-4,HOR,4,B,1,242,1,4,2,413
Hor-4,HOR,4,B,1,242,2,4,2,413
Hor-6,HOR,6,A,1,80,1,4,1,413
Hor-6,HOR,6,A,1,80,2,4,1,413
Hor-6,HOR,6,A,1,165,1,4,2,413
Hor-6,HOR,6,A,1,165,2,4,2,413
Hor-6,HOR,6,B,1,90,1,4,1,413
Hor-6,HOR,6,B,1,90,2,4,2,413
Hor-7,HOR,7,a,3,1,1,4,2,413
Hor-7,HOR,7,a,3,1,2,4,2,413
Hor-7,HOR,7,a,3,1,3,4,2,413
Hor-7,HOR,7,a,3,2,1,4,2,413
Hor-7,HOR,7,a,3,2,2,4,2,413
Hor-7,HOR,7,a,3,2,3,4,2,413
Hor-7,HOR,7,a,3,3,1,4,2,413
Hor-7,HOR,7,a,3,3,2,4,2,413
Hor-7,HOR,7,a,3,3,3,4,1,413
Hor-7,HOR,7,b,3,1,1,4,2,413
Hor-7,HOR,7,b,3,1,2,4,2,413
Hor-7,HOR,7,b,3,1,3,4,2,413
Hor-7,HOR,7,b,3,2,1,4,2,413
Hor-7,HOR,7,b,3,2,2,4,1,413
Hor-7,HOR,7,b,3,2,3,4,2,413
Hor-7,HOR,7,b,3,3,1,4,0,413
Hor-7,HOR,7,b,3,3,2,4,0,413
Hor-7,HOR,7,b,3,3,3,4,0,413
Hor-7,HOR,7,c,3,1,1,4,2,413
Hor-7,HOR,7,c,3,1,2,4,1,413
Hor-7,HOR,7,c,3,1,3,4,2,413
Hor-7,HOR,7,c,3,2,1,4,2,413
Hor-7,HOR,7,c,3,2,2,4,2,413
Hor-7,HOR,7,c,3,2,3,4,2,413
Hor-7,HOR,7,c,3,3,1,4,2,413
Hor-7,HOR,7,c,3,3,2,4,2,413
Hor-7,HOR,7,c,3,3,3,4,2,413
Hor-7,HOR,7,d,3,1,1,4,2,413
Hor-7,HOR,7,d,3,1,2,4,2,413
Hor-7,HOR,7,d,3,1,3,4,2,413
Hor-7,HOR,7,d,3,2,1,4,2,413
Hor-7,HOR,7,d,3,2,2,4,2,413
Hor-7,HOR,7,d,3,2,3,4,2,413
Hor-7,HOR,7,d,3,3,1,4,1,413
Hor-7,HOR,7,d,3,3,2,4,1,413
Hor-7,HOR,7,d,3,3,3,4,1,413
Hor-16,HOR,16,a,3,1,1,4,2,413
Hor-16,HOR,16,a,3,1,2,4,2,413
Hor-16,HOR,16,a,3,1,3,4,0,413
Hor-16,HOR,16,a,3,2,1,4,2,413
Hor-16,HOR,16,a,3,2,2,4,2,413
Hor-16,HOR,16,a,3,2,3,4,2,413
Hor-16,HOR,16,a,3,3,1,3,2,413
Hor-16,HOR,16,a,3,3,2,3,2,413
Hor-16,HOR,16,a,3,3,3,4,2,413
Hor-16,HOR,16,b,3,1,1,4,2,413
Hor-16,HOR,16,b,3,1,2,4,2,413
Hor-16,HOR,16,b,3,1,3,4,2,413
Hor-16,HOR,16,b,3,2,1,4,2,413
Hor-16,HOR,16,b,3,2,2,4,2,413
Hor-16,HOR,16,b,3,2,3,4,2,413
Hor-16,HOR,16,b,3,3,1,4,1,413
Hor-16,HOR,16,b,3,3,2,4,1,413
Hor-16,HOR,16,b,3,3,3,4,1,413
